person_name,person_email,installment_number,parcel_number,original_value,delinquent_value,paid_value,interest_value,penalty_value,due_date,paid_date,status
João Silva,joao.silva@email.com,INST-001,1,1500.00,0.00,1500.00,0.00,0.00,2024-02-15,2024-02-10,paid
João Silva,joao.silva@email.com,INST-001,2,1500.00,0.00,1500.00,0.00,0.00,2024-03-15,2024-03-12,paid
João Silva,joao.silva@email.com,INST-001,3,1500.00,320.00,0.00,48.00,30.00,2024-04-15,,overdue
João Silva,joao.silva@email.com,INST-001,4,1500.00,0.00,0.00,0.00,0.00,2026-08-15,,pending
João Silva,joao.silva@email.com,INST-002,1,2200.00,0.00,2200.00,0.00,0.00,2024-06-01,2024-05-28,paid
João Silva,joao.silva@email.com,INST-002,2,2200.00,0.00,2200.00,0.00,0.00,2024-07-01,2024-06-25,paid
Maria Oliveira,maria.oliveira@email.com,INST-003,1,3500.00,0.00,3500.00,0.00,0.00,2024-01-20,2024-01-18,paid
Maria Oliveira,maria.oliveira@email.com,INST-003,2,3500.00,0.00,3500.00,0.00,0.00,2024-02-20,2024-02-19,paid
Maria Oliveira,maria.oliveira@email.com,INST-003,3,3500.00,0.00,3500.00,0.00,0.00,2024-03-20,2024-03-15,paid
Maria Oliveira,maria.oliveira@email.com,INST-003,4,3500.00,180.00,0.00,54.00,40.00,2024-04-20,,overdue
Maria Oliveira,maria.oliveira@email.com,INST-003,5,3500.00,150.00,0.00,45.00,35.00,2024-05-20,,overdue
Maria Oliveira,maria.oliveira@email.com,INST-003,6,3500.00,0.00,0.00,0.00,0.00,2026-10-20,,pending
Pedro Santos,pedro.santos@email.com,INST-004,1,800.00,0.00,800.00,0.00,0.00,2025-01-10,2025-01-08,paid
Pedro Santos,pedro.santos@email.com,INST-004,2,800.00,0.00,800.00,0.00,0.00,2025-02-10,2025-02-10,paid
Pedro Santos,pedro.santos@email.com,INST-004,3,800.00,0.00,0.00,0.00,0.00,2026-06-10,,pending
Pedro Santos,pedro.santos@email.com,INST-005,1,4500.00,0.00,4500.00,0.00,0.00,2024-08-05,2024-08-01,paid
Pedro Santos,pedro.santos@email.com,INST-005,2,4500.00,0.00,4500.00,0.00,0.00,2024-09-05,2024-09-03,paid
Pedro Santos,pedro.santos@email.com,INST-005,3,4500.00,0.00,4500.00,0.00,0.00,2024-10-05,2024-10-02,paid
Pedro Santos,pedro.santos@email.com,INST-005,4,4500.00,3200.00,0.00,96.00,60.00,2024-11-05,,overdue
Pedro Santos,pedro.santos@email.com,INST-005,5,4500.00,2800.00,0.00,84.00,50.00,2024-12-05,,overdue
Ana Costa,ana.costa@email.com,INST-006,1,1200.00,0.00,1200.00,0.00,0.00,2025-03-01,2025-02-27,paid
Ana Costa,ana.costa@email.com,INST-006,2,1200.00,0.00,0.00,0.00,0.00,2025-04-01,,renegotiated
Ana Costa,ana.costa@email.com,INST-006,3,1200.00,0.00,0.00,0.00,0.00,2025-05-01,,renegotiated
Ana Costa,ana.costa@email.com,INST-006,4,1200.00,0.00,0.00,0.00,0.00,2026-09-01,,pending
Ana Costa,ana.costa@email.com,INST-007,1,2800.00,0.00,2800.00,0.00,0.00,2024-05-15,2024-05-10,paid
Ana Costa,ana.costa@email.com,INST-007,2,2800.00,0.00,2800.00,0.00,0.00,2024-06-15,2024-06-12,paid
Ana Costa,ana.costa@email.com,INST-007,3,2800.00,150.00,0.00,45.00,25.00,2024-07-15,,overdue
Ana Costa,ana.costa@email.com,INST-007,4,2800.00,0.00,0.00,0.00,0.00,2024-08-15,,cancelled
Ana Costa,ana.costa@email.com,INST-007,5,2800.00,0.00,0.00,0.00,0.00,2024-09-15,,cancelled
Carlos Ferreira,carlos.ferreira@email.com,INST-008,1,500.00,0.00,500.00,0.00,0.00,2025-06-01,2025-05-28,paid
